a,b,sort
-4.689826737,3.094478562,a
-2.557522007,-2.936054561,a
1.457067267,-4.594797082,a
8.1641558,9.853681223,a
-5.966361379,2.669865289,a
7.967793699,-5.735837296,a
8.893505372,-7.412553038,a
3.21595585,-0.437639314,a
2.582280878,8.481489397,a
-8.764274591,1.975219343,a
-5.880508502,9.523413898,a
-6.468864949,4.635850238,a
3.740456933,-2.865461758,a
-2.317925636,-1.370526189,a
5.3968284,-7.035768786,a
-0.046015158,-9.73844849,a
4.352370165,4.311321322,a
9.838121897,-7.936315285,a
-2.399296411,-1.074313028,a
5.548904426,2.802020903,a
8.694104622,9.836772401,a
-5.757149574,-0.088128443,a
3.033475322,-0.313009513,a
-7.488898081,-6.531153303,a
-4.655586625,5.09641889,a
-2.277718149,-0.922090216,a
-9.732193337,0.223395675,a
-2.352240859,-5.849097734,a
7.393816914,-5.426837145,a
-3.193020066,1.914239926,a
-0.358397691,1.497443966,a
1.991316509,-8.458712394,a
-0.129173859,-9.289188408,a
-6.275647972,2.855909844,a
6.547466372,8.572303993,a
3.369334764,1.961848447,a
5.884797215,1.21801496,a
-7.841127482,0.520554478,a
4.474218921,9.701904478,a
-1.774511407,0.152836447,a
6.418925882,3.655761573,a
2.941203876,2.030824353,a
5.658655246,-5.222626445,a
1.060726233,-4.836681467,a
0.594391604,4.586192467,a
5.787124634,-0.948583372,a
-9.533375953,-6.497464632,a
-0.455398699,4.933965392,a
4.646274773,-7.900247192,a
3.85463113,7.290898981,a
-0.447607557,2.292899434,a
7.224189537,1.143190777,a
-1.238057856,-3.424453619,a
-5.104054459,-0.937371091,a
-8.586419057,0.008819452,a
-8.010676797,-6.382672777,a
-3.674565856,0.592612056,a
0.372685264,-8.494485086,a
3.240101528,-4.444881347,a
-1.863396256,-5.746009615,a
8.257518485,-4.30419038,a
-4.127932545,7.901882059,a
-0.818685475,-1.075293534,a
-3.352106516,5.599697796,a
3.017409341,7.612380697,a
-4.839664386,-1.73751581,a
-0.429095034,-8.72383039,a
5.326213413,-3.290250166,a
-8.315061713,4.474518932,a
7.506426601,-3.24769333,a
-3.218541243,2.60828245,a
6.788807004,6.81229108,a
-3.066330217,7.122633294,a
-3.324501384,-2.172814379,a
-0.472975099,-2.390122288,a
7.843966717,7.90890852,a
7.286789413,2.886315258,a
-2.200209131,4.821572974,a
5.546413977,2.106068931,a
9.212359944,8.06163223,a
-1.306810305,-4.125396898,a
4.250293574,-6.174797802,a
-2.000112622,7.729018866,a
-3.492956962,0.066789715,a
5.141742961,7.54115086,a
-5.946154897,-6.216127551,a
4.222424449,5.162061048,a
-7.566161579,4.489977853,a
-5.090229721,8.874496366,a
-7.133912412,0.95293174,a
-5.207411698,4.234877354,a
-8.821312455,-2.221898003,a
2.845765171,-7.982537476,a
7.525384254,8.546041772,a
5.578293549,-4.335349994,a
5.946176518,1.811463176,a
-0.894510928,-7.792787901,a
-1.798318359,6.810140642,a
6.217404855,-3.640726311,a
2.098665806,5.65702674,a
6.848823,1.618987585,b
12.02374036,-1.124504574,b
10.73326335,3.368891769,b
6.680519204,-3.494985593,b
14.43839339,-1.527277511,b
14.43474959,-0.112267686,b
6.291589767,-3.507531371,b
13.33448816,-1.429374099,b
9.680185155,4.626440483,b
10.49983742,-3.676279967,b
10.52674067,-4.895854746,b
7.388947594,-3.35357758,b
12.60513313,3.101921445,b
6.808201007,3.688610368,b
9.052821812,0.14281763,b
13.53548453,1.271962866,b
14.76398489,3.444290031,b
7.258254611,-2.151294257,b
9.448092291,1.672256477,b
5.749794247,-3.49530248,b
