赛事,时间,主队,比分,客队,赛果,平均欧指胜,平均欧指平,平均欧指败,澳门盘口,盘路,大小
德甲,2017/5/20,拜  仁,"4:1
                                                                                    	 (1:0)",弗赖堡,胜,1.15,8.47,14.77,两球半,赢,大
德甲,2017/5/13,莱比锡,"4:5
                                                                                    	 (2:1)",拜  仁,胜,4.5,4.16,1.69,受半球/一球,赢半,大
德甲,2017/5/6,拜  仁,"1:0
                                                                                    	 (1:0)",达姆施,胜,1.07,12.29,28.07,三球,输,小
德甲,2017/4/30,沃尔夫,"0:6
                                                                                    	 (0:3)",拜  仁,胜,7.56,4.88,1.39,受一球/球半,赢,大
德国杯,2017/4/27,拜  仁,"2:3
                                                                                    	 (2:1)",多  特,负,1.49,4.58,5.79,一球/球半,输,大
德甲,2017/4/22,拜  仁,"2:2
                                                                                    	 (1:2)",美因茨,平,1.17,7.32,15.2,两球,输,大
欧冠,2017/4/19,皇  马,"1:2
                                                                                    	 (0:0)",拜  仁,胜,2.52,3.8,2.59,平手,赢,大
德甲,2017/4/16,勒  沃,"0:0
                                                                                    	 (0:0)",拜  仁,平,4.73,3.9,1.7,受半球/一球,输,小
欧冠,2017/4/13,拜  仁,"1:2
                                                                                    	 (1:0)",皇  马,负,1.72,4.06,4.52,半球/一球,输,大
德甲,2017/4/9,拜  仁,"4:1
                                                                                    	 (2:1)",多  特,胜,1.49,4.52,6.23,一球/球半,赢,大
德甲,2017/4/5,霍  芬,"1:0
                                                                                    	 (1:0)",拜  仁,负,5.8,4.39,1.53,受一球,输,小
德甲,2017/4/1,拜  仁,"6:0
                                                                                    	 (2:0)",奥格斯,胜,1.1,9.65,24.17,两球半,赢,大
德甲,2017/3/20,门  兴,"0:1
                                                                                    	 (0:0)",拜  仁,胜,8.37,5.13,1.35,受球半,输,小
德甲,2017/3/11,拜  仁,"3:0
                                                                                    	 (2:0)",法兰克,胜,1.12,8.73,22.34,两球/两球半,赢,大
欧冠,2017/3/8,阿森纳,"1:5
                                                                                    	 (1:0)",拜  仁,胜,3.83,3.95,1.91,受半球,赢,大
德甲,2017/3/4,科  隆,"0:3
                                                                                    	 (0:1)",拜  仁,胜,9.1,4.88,1.36,受球半,赢,大
德国杯,2017/3/2,拜  仁,"3:0
                                                                                    	 (3:0)",沙尔克,胜,1.2,6.42,13.12,两球,赢,大
德甲,2017/2/25,拜  仁,"8:0
                                                                                    	 (3:0)",汉  堡,胜,1.15,7.72,18.36,两球,赢,大
德甲,2017/2/18,赫  塔,"1:1
                                                                                    	 (1:0)",拜  仁,平,8.2,4.43,1.41,受一球/球半,输,小
欧冠,2017/2/16,拜  仁,"5:1
                                                                                    	 (1:1)",阿森纳,胜,1.41,4.81,7.59,一球/球半,赢,大
德甲,2017/2/11,因戈尔,"0:2
                                                                                    	 (0:0)",拜  仁,胜,8.94,4.65,1.38,受一球/球半,赢,小
德国杯,2017/2/8,拜  仁,"1:0
                                                                                    	 (1:0)",沃尔夫,胜,1.14,7.99,16.8,两球/两球半,输,小
